SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-25-2020,Single Family Residential,24 Robert Rd,Cornwall,NY,12518,308000,4,2,Cornwall,1920,20038,1965,333,160,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/24-Robert-Rd-12518/home/54916191,OneKey,H6013651,N,Y,41.4315746,-74.0311827
PAST SALE,September-5-2020,Single Family Residential,11 Mine Hill Rd,Cornwall,NY,12518,262600,3,1,Cornwall,1344,35284,1955,261,195,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/11-Mine-Hill-Rd-12518/home/54936764,OneKey,H5029942,N,Y,41.4102175,-74.0527553
PAST SALE,July-30-2020,Single Family Residential,8 Tenny Ln,Cornwall,NY,12518,250900,3,1.5,Cornwall,1916,130680,1980,298,131,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/8-Tenny-Ln-12518/home/54887707,OneKey,H6046890,N,Y,41.415529,-74.0471558
PAST SALE,December-17-2020,Single Family Residential,9 Windsor Ln,Cornwall,NY,12518,510000,4,2.5,Cornwall,2887,78408,1998,158,177,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/9-Windsor-Ln-12518/home/54897377,OneKey,H6065899,N,Y,41.4141881,-74.056404
PAST SALE,NA,Single Family Residential,14 Juniper Gln,Cornwall,NY,12518,270000,3,2.5,NA,1960,326700,1978,NA,138,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/14-Juniper-Gln-12518/home/54910560,NA,NA,N,Y,41.4072875,-74.0657435
PAST SALE,August-6-2020,Single Family Residential,27 Derussey Ln,Cornwall,NY,12518,305999,4,2,Cornwall,2124,41382,1910,291,144,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/27-Derussey-Ln-12518/home/54922256,OneKey,H6036682,N,Y,41.4118849,-74.0591348
PAST SALE,December-18-2020,Single Family Residential,35 Paradise Hl,Cornwall,NY,12518,62000,3,1,Cornwall,736,8276,1935,157,84,NA,Sold,NA,NA,http://www.redfin.com/NY/CORNWALL/35-PARADISE-HL-12518/home/72589735,OneKey,H4991068,N,Y,41.400747,-74.077319
PAST SALE,October-27-2020,Single Family Residential,2 Tundra Ter,Cornwall,NY,12518,590000,3,2.5,Baker Mountain,2954,187308,1995,209,200,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/2-Tundra-Ter-12518/home/54921762,OneKey,H6055065,N,Y,41.4044974,-74.058171
PAST SALE,October-20-2020,Single Family Residential,109 Laurel Ave,Cornwall,NY,12518,359000,4,2.5,Cornwall,1861,11761,1975,216,193,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/109-Laurel-Ave-12518/home/54890193,OneKey,H6048845,N,Y,41.4383773,-74.0463297
PAST SALE,June-5-2020,Single Family Residential,138 Harold Ave,Cornwall,NY,12518,455000,4,2.5,Quaker Mill Estates,2354,15682,1996,353,193,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/138-Harold-Ave-12518/home/54941545,OneKey,H6014424,N,Y,41.4377026,-74.0499097
PAST SALE,January-13-2021,Single Family Residential,100 Beach St,Cornwall,NY,12518,510000,4,2.5,Quaker Mill Estates,2568,18731,1996,131,199,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/100-Beach-St-12518/home/54922464,OneKey,H6069569,N,Y,41.4367667,-74.0494966
PAST SALE,August-12-2020,Single Family Residential,5 Peter Scott Dr,Cornwall,NY,12518,175000,3,1,Cornwall,1260,8712,1952,285,139,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/5-Peter-Scott-Dr-12518/home/54899838,OneKey,H6042803,N,Y,41.4417974,-74.035222
PAST SALE,January-5-2021,Single Family Residential,105 Russell St,Cornwall,NY,12518,350000,4,2.5,Cornwall,2131,11761,1974,139,164,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/105-Russell-St-12518/home/72590332,OneKey,H6075710,N,Y,41.438941,-74.045733
PAST SALE,July-29-2020,Single Family Residential,6 Cherry Hill Rd,Cornwall,NY,12518,386250,4,2.5,Cornwall,2481,95832,1963,299,156,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/6-Cherry-Hill-Rd-12518/home/92375106,OneKey,H6035324,N,Y,41.4122664,-74.0510571
PAST SALE,November-9-2020,Single Family Residential,109 Pelham Dr,Cornwall,NY,12518,546900,4,3,Cornwall,2989,16988,1996,196,183,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/109-Pelham-Dr-12518/home/92375470,OneKey,H6052424,N,Y,41.4368915,-74.0487622
PAST SALE,May-10-2021,Single Family Residential,6 Chestnut St,Cornwall,NY,12518,460000,3,2,Cornwall,2016,9583,1925,14,228,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/6-Chestnut-St-12518/home/92375039,OneKey,H6096017,N,Y,41.437363,-74.037057
PAST SALE,August-12-2020,Single Family Residential,61 Continental Rd,Cornwall,NY,12518,345000,3,2,Cornwall,1700,25265,1961,285,203,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/61-Continental-Rd-12518/home/54892700,OneKey,H6038986,N,Y,41.4265795,-74.0336155
PAST SALE,March-24-2021,Single Family Residential,23 Knoll Crest Ct,Cornwall,NY,12518,554900,3,3,Stone Hollow,2442,20203,2019,61,227,50,Sold,NA,NA,http://www.redfin.com/NY/CORNWALL/23-KNOLL-CREST-CT-12518/home/72597736,OneKey,H6085068,N,Y,41.446223,-74.038857
PAST SALE,April-8-2021,Single Family Residential,334 Angola Rd,Cornwall,NY,12518,609000,4,2,Cornwall,2118,152460,1900,46,288,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/334-Angola-Rd-12518/home/72610255,OneKey,H6090467,N,Y,41.4154863,-74.052878
PAST SALE,October-23-2020,Single Family Residential,15 Sugar Maples,Cornwall,NY,12518,431000,3,2.5,Cornwall,2355,65340,1989,213,183,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/15-Sugar-Maples-12518/home/54909272,OneKey,H6058352,N,Y,41.4084594,-74.0683594
PAST SALE,July-1-2020,Single Family Residential,10 Highland Ave,Cornwall,NY,12518,200000,3,1,Cornwall,960,11326,1954,327,208,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/10-Highland-Ave-12518/home/92374880,OneKey,H6037906,N,Y,41.4416684,-74.0477525
PAST SALE,September-28-2020,Single Family Residential,15 Hawk Nest Rd,Cornwall,NY,12518,545000,3,2.5,Cornwall,2158,152460,1980,238,253,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/15-Hawk-Nest-RD-12518/home/172530556,OneKey,H6054822,N,Y,41.4343383,-74.0353681
PAST SALE,April-26-2021,Single Family Residential,2 Mancini Ct,Cornwall,NY,12518,559000,4,2.5,Cornwall,2710,87120,1998,28,206,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/2-Mancini-Ct-12518/home/92375216,OneKey,H6091454,N,Y,41.4149151,-74.0560139
PAST SALE,March-1-2021,Single Family Residential,24 Highland Ave,Cornwall,NY,12518,295000,3,1,Cornwall,1056,7405,1925,84,279,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/24-Highland-Ave-12518/home/54887833,OneKey,H6073518,N,Y,41.4412694,-74.0462838
PAST SALE,March-4-2021,Single Family Residential,27 Willow Ave,Cornwall,NY,12518,295000,4,2,Cornwall,1318,6098,1880,81,224,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/27-Willow-Ave-12518/home/72599826,OneKey,H6065608,N,Y,41.4374831,-74.0343155
PAST SALE,December-30-2020,Single Family Residential,26 Schofield Ln,Cornwall,NY,12518,330500,3,2,Cornwall,1503,21780,1975,145,220,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/26-Schofield-Ln-12518/home/54929508,OneKey,H6059649,N,Y,41.4452766,-74.0452281
PAST SALE,November-3-2020,Single Family Residential,422 Angola Rd,Cornwall,NY,12518,410000,3,2,Cornwall,2820,35719,1860,202,145,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/422-Angola-Rd-12518/home/54927930,OneKey,H6056222,N,Y,41.4103199,-74.0569777
PAST SALE,December-1-2020,Single Family Residential,133 Harold Ave,Cornwall,NY,12518,479900,4,2.5,Cornwall,2492,19166,1996,174,193,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/133-Harold-Ave-12518/home/92375460,OneKey,H6061485,N,Y,41.4387398,-74.050231
PAST SALE,December-22-2020,Single Family Residential,44 Elm St,Cornwall,NY,12518,379900,3,2,Cornwall,1330,9583,1924,153,286,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/44-Elm-St-12518/home/92374999,OneKey,H6069591,N,Y,41.4363288,-74.0383433
PAST SALE,March-28-2021,Single Family Residential,12 Tamara Ln,Cornwall,NY,12518,360000,4,2,Cornwall,1735,14375,1955,57,207,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/12-Tamara-Ln-12518/home/54922469,OneKey,H6075020,N,Y,41.4367838,-74.0283827
PAST SALE,March-31-2021,Single Family Residential,6 Harold Ave,Cornwall,NY,12518,350000,4,1.5,Cornwall,1222,12632,1945,54,286,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/6-Harold-Ave-12518/home/72589830,OneKey,H6092196,N,Y,41.4393308,-74.0444478
PAST SALE,April-9-2021,Single Family Residential,30 Hampton Pl,Cornwall,NY,12518,610000,4,3.5,Cornwall,2960,20038,1996,45,206,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/30-Hampton-Pl-12518/home/72589738,OneKey,H6081284,N,Y,41.4461146,-74.0430709
PAST SALE,May-10-2021,Single Family Residential,117 Russell St,Cornwall,NY,12518,590000,4,2.5,Quaker Mill,2380,15246,1996,14,248,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/117-Russell-St-12518/home/92375480,OneKey,3269709,N,Y,41.4371548,-74.0476607
PAST SALE,NA,Single Family Residential,366 Angola Rd,Cornwall,NY,12518,235000,3,1.5,NA,1386,9583,1947,NA,170,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/366-Angola-Rd-12518/home/92375109,NA,NA,N,Y,41.413424,-74.0535784
PAST SALE,NA,Single Family Residential,102 Alfred St,Cornwall,NY,12518,324900,4,2.5,NA,1906,11761,1976,NA,170,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/102-Alfred-St-12518/home/72600089,NA,NA,N,Y,41.438888,-74.0450904
PAST SALE,June-29-2020,Single Family Residential,86 Chestnut Ln,Newburgh,NY,12550,267500,3,1.5,Newburgh,1515,11252,1960,329,177,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/86-Chestnut-Ln-12550/home/54886140,OneKey,H6009353,N,Y,41.5289188,-74.0323303
PAST SALE,June-12-2020,Single Family Residential,57 Meadow St,Newburgh,NY,12550,206000,3,1,Powelton Farm,1269,15825,1966,346,162,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/57-Meadow-St-12550/home/72613632,OneKey,H4954777,N,Y,41.5279296,-74.0275106
PAST SALE,June-24-2020,Single Family Residential,9 Cardinal Ct,Newburgh,NY,12550,285000,3,2,Newburgh,1352,60984,1985,334,211,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/9-Cardinal-Ct-12550/home/54899226,OneKey,H6012671,N,Y,41.5487106,-74.019707
PAST SALE,October-2-2020,Single Family Residential,230 Colden Hill Rd,Newburgh,NY,12550,340000,4,2,Newburgh,2392,47916,1977,234,142,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/230-Colden-Hill-Rd-12550/home/72592476,OneKey,H6014328,N,Y,41.5401863,-74.1262601
PAST SALE,September-29-2020,Single Family Residential,21 Lilly St,Newburgh,NY,12550,205000,3,2,Newburgh,2072,6887,1935,237,99,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/21-Lilly-St-12550/home/72578387,OneKey,H6045035,N,Y,41.5077487,-74.0251236
PAST SALE,January-28-2021,Single Family Residential,110 Williamsburg Ct,Newburgh,NY,12550,329000,4,2.5,Newburgh,2100,19423,1964,116,157,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/110-Williamsburg-Ct-12550/home/92387418,OneKey,H6071691,N,Y,41.5266055,-74.0117654
PAST SALE,October-5-2020,Single Family Residential,27 5th Ave,Newburgh,NY,12550,312000,3,1.5,Newburgh,1580,43011,1924,231,197,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/27-5th-Ave-12550/home/72603639,OneKey,H6051282,N,Y,41.5173356,-74.0497261
PAST SALE,October-8-2020,Single Family Residential,29 5th Ave,Newburgh,NY,12550,250000,3,1,Newburgh,1228,43560,1920,228,204,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/29-5th-Ave-12550/home/92387147,OneKey,H6038587,N,Y,41.5175576,-74.0496802
PAST SALE,NA,Single Family Residential,1162 Union Ave,Newburgh,NY,12550,340000,3,2,NA,2080,27295,1936,NA,163,NA,NA,NA,NA,http://www.redfin.com/NY/Newburgh/1162-Union-Ave-12550/home/72593203,NA,NA,N,Y,41.5312703,-74.0687724
PAST SALE,August-27-2020,Single Family Residential,9 Jodi Dr,Newburgh,NY,12550,500000,4,2.5,Newburgh,2990,121968,2003,270,167,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/9-Jodi-Dr-12550/home/54893867,OneKey,H6037205,N,Y,41.5469797,-74.0919238
PAST SALE,August-4-2020,Single Family Residential,19 Holiday Park,Newburgh,NY,12550,305000,3,2.5,Newburgh,2253,14610,1965,293,135,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/19-Holiday-Park-12550/home/54921573,OneKey,H6007762,N,Y,41.52471,-74.127427
PAST SALE,August-13-2020,Single Family Residential,10 Linda Dr,Newburgh,NY,12550,375000,4,3,Balmville,2588,29843,1969,284,145,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/10-Linda-Dr-12550/home/72603149,OneKey,H6039786,N,Y,41.548088,-74.0022166
PAST SALE,October-30-2020,Single Family Residential,15 Sequestered Rd,Newburgh,NY,12550,205000,3,1,Newburgh,1194,15625,1900,206,172,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/15-Sequestered-Rd-12550/home/72578464,OneKey,H6046118,N,Y,41.5117345,-74.0215432
PAST SALE,NA,Single Family Residential,264 Carter Ave,Newburgh,NY,12550,245000,3,1,NA,1420,22800,1951,NA,173,NA,NA,NA,NA,http://www.redfin.com/NY/Newburgh/264-Carter-Ave-12550/home/92386219,NA,NA,N,Y,41.5496366,-74.0101587
PAST SALE,August-27-2020,Single Family Residential,15 Brooker Dr,Newburgh,NY,12550,190000,3,1,Newburgh,1450,19998,1956,270,131,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/15-Brooker-Dr-12550/home/54907721,OneKey,H5115704,N,Y,41.5527572,-74.012431
PAST SALE,September-8-2020,Single Family Residential,5 Stori Rd,Newburgh,NY,12550,310000,3,2.5,Newburgh,2219,14841,1986,258,140,NA,Sold,NA,NA,http://www.redfin.com/NY/Newburgh/5-Stori-Rd-12550/home/54894510,OneKey,H5129156,N,Y,41.4983151,-74.0536732
PAST SALE,NA,Single Family Residential,443 1st St,Newburgh,NY,12550,90000,3,1.5,NA,1364,3680,1931,NA,66,NA,NA,NA,NA,http://www.redfin.com/NY/Newburgh/443-1st-St-12550/home/54899507,NA,NA,N,Y,41.5031729,-74.0272352
