SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-13-2021,Single Family Residential,7 White Ter,Cornwall-On-Hudson,NY,12520,430000,3,2,Cornwall On Hudson,1554,9148,1955,11,277,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/7-White-Ter-12520/home/72610360,OneKey,H6100816,N,Y,41.4484632,-74.0222776
PAST SALE,June-1-2020,Single Family Residential,14 Duncan Ave,Cornwall-On-Hudson,NY,12520,205000,2,2,Cornwall On Hudson,1006,3049,1910,357,204,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/14-Duncan-Ave-12520/home/54913334,OneKey,H6019579,N,Y,41.4442652,-74.0160805
PAST SALE,August-18-2020,Single Family Residential,26 Duncan Ave,Cornwall-On-Hudson,NY,12520,235000,2,1.5,Cornwall On Hudson,828,27007,1900,279,284,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/26-Duncan-Ave-12520/home/92374505,OneKey,H6039845,N,Y,41.4438573,-74.0175036
PAST SALE,August-27-2020,Single Family Residential,34 Washington St,Cornwall-On-Hudson,NY,12520,350000,1,1,Cornwall On Hudson,1133,14810,1940,270,309,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/34-Washington-St-12520/home/54948377,OneKey,H6039477,N,Y,41.4411656,-74.011444
PAST SALE,September-29-2020,Single Family Residential,17 Willis Ave,Cornwall-On-Hudson,NY,12520,405000,3,2.5,Weeks Estates,1919,24394,1952,237,211,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/17-Willis-Ave-12520/home/54903711,OneKey,H6048047,N,Y,41.4429079,-74.022094
PAST SALE,July-23-2020,Single Family Residential,4 Summer Winds Ct,Cornwall-On-Hudson,NY,12520,693611,4,2.5,Cornwall On Hudson,2967,37479,1998,305,234,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/4-Summer-Winds-Ct-12520/home/54899147,OneKey,H6040713,N,Y,41.4423637,-74.0190201
PAST SALE,May-29-2020,Single Family Residential,16 Barr Ave,Cornwall-On-Hudson,NY,12520,383320,5,2,Weeks Estates,2352,19602,1994,360,163,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/16-Barr-Ave-12520/home/54921068,OneKey,H6000625,N,Y,41.4426372,-74.0233196
PAST SALE,October-21-2020,Single Family Residential,8 Taft Pl,Cornwall-On-Hudson,NY,12520,442000,4,2.5,Cornwall On Hudson,2820,15682,1960,215,157,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/8-Taft-Pl-12520/home/54852859,OneKey,H6045497,N,Y,41.4415816,-74.0010463
PAST SALE,February-12-2021,Single Family Residential,77 Weeks Ave,Cornwall-On-Hudson,NY,12520,410000,4,2,Weeks Estates,1920,8712,1934,101,214,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/77-Weeks-Ave-12520/home/72579746,OneKey,H6055747,N,Y,41.4410327,-74.0214782
PAST SALE,November-24-2020,Single Family Residential,1 Copper Beech Ln,Cornwall-On-Hudson,NY,12520,420000,3,2.5,Cornwall On Hudson,2220,60984,1982,181,189,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/1-Copper-Beech-Ln-12520/home/56166866,OneKey,H6052128,N,Y,41.4351363,-74.0226908
